Organisation,Number of payments,Total amount
Atg Tickets,1,41.8
HOLLY LODGE CARE HOME,2,3232
Bardsey Building Contractors Ltd,2,8330.9
Lakeside Surgery,1,151.42
Hughes Walker Solicitors Ltd,1,2224.8
Solk Furniture Healthcare Ltd,16,108300.72
Prospect Plant Display,1,2496.96
Kirsty Cook,1,35
Bells Domestics Ltd,135,33022.15
Akeim Buck,1,25
Sean Gledhill,1,250
The Old Yorkshire Store,1,94.5
Pizza Hut (747),1,22.89
Www.Bfmulholland.Com,1,33
Levitt Mill & Barn,68,571530.22
Eb *vycon 2018,1,25
Www.Ppluk.Com,41,15079.46
The Rutland Hotel Shef,1,62.5
Cottingley In Bloom,10,5606.85
Karen Armstrong Lamb,27,11750
Carluccios,3,136.74
AAZTEC ASSOCIATES LTD,1,840.18
Im Press Promotions Leeds East,16,14386.2
Paypal *envato Mkpl En,2,62.45
Brandon Mount Ltd,2,900
Candymakers Ltd,1,2000
Eastern Media & Arts Network,12,11850
Haymarket Publishing,1,1137
University Of The West Of England,4,11299.34
Unicef UK Bfi,1,96
Amateur Rowing Ass,9,949.09
Clare Mcmullan,3,800
Chequewrite UK Ltd,28,27160.29
New Wortley Community Association,71,107106.04
Coach House,131,1146650.12
Www.Coastwatersports.C,1,37.47
R Jablenska,2,61.56
W H Darby Ltd,1,1214.4
Sitebox Ltd,1,75.5
St Philips Scholes,1,57
Hall Steads,11,7796.56
Eskimosoup,5,21017
Jne Marketing,2,341.05
Ian Pickles,1,80
UNITY PROPERTY SERVICES,1,6250
MAPLE ESTATES,2,28616.28
Swiis Foster Care Scotland Ltd,805,802702.349999998
A J  Bailey,1,2221.65
Shoerenew,5,127.05
Pyjama Drama,5,680
Clintons 1121,4,98.43
Dalesview Partnership,1,1894.29
Handicare Accessibility Ltd,462,651754.42
Dr Willem Visser,1,175
Bt,3,7161.87
Sarah O'Brien,1,500
Sainsburys Local,37,497.69
Yorkshire Ambulance Nhs Trust,142,21779.85
Sp Wallboss Ltd,1,37.98
Cheltenham Mowers Ltd,1,34.16
Kilnsey Trout Farm,2,39
Addplant Ltd,7,32640.49
Oil Payment,1,22682
Hillcrest Early Years Academy,1,52.2
Linleys Properties,3,7255
Www.Ppma.Org.Uk,2,1394.4
Leeds Skate Park,11,729
Registration Contact C,3,30
Fine Solutions Nottingham,1,83.69
Disibility Rights Uk,3,1065.55
The Royal Wolverhampton Nhs Trust,9,1070.24
B & G Gas Services,1,80
Furnitubes Internation,6,2771.78
Ark House Treatment Centre,8,26776.77
BRITISH GAS BUSINESS,2,1250.65
Eb Social Media And T,1,20
Gledhow Christian Care Home,241,1926179.07
Bluebell Lodge Care Home,60,479678.54
Fretwell-Downing Hospitality Ltd,7,11482.95
Tarmac Northern (Leeds),2,1474.25
Half Moon Ypt Ltd,1,1050
New Look Internet,6,364.17
Sdl Group Ltd T/A Surr,1,460.95
Blade Rubber Stamp,1,30.92
Rs Components Ltd,5,616.72
Impact Print Limit,2,1898.1
The Hotel Russell F And B,4,646.5
Amz*cash Converters Dunde,2,86.33
Philip Kolvin Qc,19,23204.62
LEEDS SURVIVOR LED CRISIS SERVICE,1,28617.5
Medhanie Tesfu Ghebremichael,1,255
Ppss Ltd,3,10240.9
Funstation,5,38.33
Hopkinsons Fairdeals Ltd,18,101496
Genus Law Ltd,1,250
Corgi Direct & Home,1,541.2
Electro Circuit Repairs,1,480
Silverbeck Rymer,15,34908.83
Water Hygiene Centre,1,2327.5
Rts Contracts Ltd,1,54.7
Quality Hotel 11,1,303.84
T Cook Retail Ltd,2,2895.52
Sports Aid,1,1000
Helen Galashan,1,323.95
Euroffice.Co.Uk,26,2278.46
Leedscitycollege,3,111.67
Www.Bluejigsaw.Co.Uk,3,224.56
Helen Williams,3,2425
Aireworth Vets,15,5529.74
Iql Uk,3,260
Merchandise,1,744.62
Paypal *bil Group,1,235
Exhibition Plus,3,3120
Sanctuary Housing Association,321,2983491.1
Birch N/e Bk,1,11.18
Wp-Apmg-Bb,2,106.4
T C Harrison Jcb,238,223127.24
Farsley Village Singers,5,171
John Mackie,1,40
Www.Tableprotectordire,3,142.9
Meanwood Group Practice,63,158477.79
Thepihut,12,595.66
Oscar Barany,1,1000
Timothy Neal,1,900
Aquaspray Ltd,2,1779.4
Sangat,1,500
Florence Nightingale M,1,18.99
Media Business Insight Ltd,1,225
St Andrews Community Hall,7,3850
Www.Nurserymen.Co.Uk,1,712.68
Wise,4,8995
Mitchell By Products Ltd,6,775
Opodo Id,3,278.45
Deborah J Hoban Solicitors,1,3000
TYNETEC LTD,10,101404.67
Helen O'Hanlon,1,980
Steven Clarkson,1,750
Berkmann Wine Cellars Ltd,1,301.68
Citispace Services Ltd,16,9303.08
Stearn Electric Co Ltd,171,52663.67
Dynamite Softball Club,1,1398.3
Cadman Properties Ltd,1,600
Kenneth Priestley.,1,550
Graham Hofmann,2,7900
Al-Shafa Pharmacy,11,32401.6
Gt Produce Ltd,5479,4671835.65
Childrens Corner Day Nursery,153,413389.21
Ryanair,29,4965.11
St.Cyprian With St.James Church Hall,2,1200
Yew Tree Care Centre,24,77375.25
Allpay Moto (Callpay/ivr,6,2003.54
Trixter Europe Ltd,1,2510.55
A P Holden,1,5000
Dr Atef Amin,1,181.6
Adfam,1,86.39
Geomatt Building Ltd,332,601376.04
Purepromoter Ltd T/A Pure360,14,11585.25
Iss Uk Protecting Children,6,16350
Builderdepot.Co.Uk,1,102.29
John O'Gaunts Community Centre,1,500
G W Butler Ltd,20,18999.45
Bct Outdoors Ltd,6,7282.67
Gregory Projects Ltd,1,3800
Anne Connolly,1,500
Shakeshuka,1,8.5
Lomonaco Artists,1,4000
Queensct-Kfc Meadowhal,1,18.05
Fusion Fostering Ltd,5,14661.15
Www.Curtisward.Com,6,118.97
Ranjit Singh & R Kaur,1,600
Www.Tillrollsthermal.Co.,1,7
Dna Worldwide Group Ltd,13,2297.22
Anne Sophie Cochevelou,1,150
Snow Business International Ltd,3,3718.18
Ee Leeds Crown Point,4,54.86
GDF SUEZ Sales Ltd,2,907771
Shoecare - Leeds Georg,1,12.5
Tempest Brew,4,4743.12
Milton-Keynes.Gov,2,504.16
Agora Publications,1,53.98
Deanna Greenwood,1,50
Continental Produc,1,30.85
C & C Landscapes Ltd,1,475
Iz *safe Haven,3,524
Aldi 88 779,15,330.97
Kim Tatum,1,200
Gillian Green,1,750
PATH (YORKSHIRE) LTD,22,21668.17
Performance Interpreting Ltd,1,650
A2z Kids,1,106.98
IMAGECO VISUAL IMAGING LTD,1,870
Amazing Publishing Lim,1,44.1
Gurdip Singh,1,650
Colton Methodist Church,7,1570
Ashleigh Metcalfe,2,300
Nandos Westfield Strat,1,6.33
England Squash,3,375
Link Shelving Display Systems,2,1227
Multimount,2,266.4
Northern Ux,1,180
Schuchmann Llp,9,14029
Myhermes.Co.Uk,14,140.5
Jerry Hardman Jones,11,5625
Historyonics,4,360
The Aqua Clinic Uk Ltd,18,7795
Lancaster & Winter Ltd,3,1946.4
Gordon Rigg (Rochdale),1,32.47
Soil Instruments Ltd,1,209.5
Allied Exploration & Geotechnics Ltd,267,1043800.76
Holiday Inn Leeds,1,105
Cn Promotions,2,196.25
Ramboll Uk Ltd,1,5000
Treatment Direct Ltd,3,10164
Steven Conlon,8,1243.3
Www.Prosol.Co.Uk,2,481.5
Radcliffe Properties,1,2500
Kone Plc,115,1939311.08
E.On,180,13390.43
Winthorpe Residents Association,27,11709.92
The Baltimore Hotel,1,225
Leeds Cat Rescue,1,200
Urban Planters Leeds,2,7488
Grillitypecom,3,481.93
Montgomery Homes,1,1212.5
Rushall Medical Centre,1,151.42
C E F (North East Division),7,796.88
Www.Gadgets-Galore.Co.Uk,1,471.68
British Triathlon/,5,498.67
Sabourn Court Care Home,11,129116.42
AN AGENCY CALLED ENGLAND,1,600
Event Furniture Limite,5,1089.78
SMITCARE LTD,2,2737.56
Ridings Housing Association,179,1251247.73
Adventure Activities Licensing Authority,4,2860
The Dures Partnership Llp,6,19724.36
W D M  Ltd,10,107914.87
Arts Marketing Association,9,2482
Swift Credit Services Ltd.,5,375
Hope Green Residential Home,1,3009
TOUCHSTONE,15,332662.28
P G PLANT,2,6691.25
Bbc,5,38229.47
Fuzzy Logic Theatre,1,968.4
Haycock & Jay Associates Ltd,5,3940
Glidefield Ltd,29,709390.18
Ncp,5,4123.34
Riverside Residential Home,2,4573.19
C Through Cleaning Services,2,3000
Tore Properties Ltd,1,25
ELVEDEN FARMS LTD,4,10645.3
The Hotel Russell,2,238
Temple Newsam & Colton Children'S Centre,1,150
Grd Building Contractors Ltd,2,23392.45
Ridings Fm,1,300
Paypal *mohsintradi,1,12.49
Orchard Energy Ltd,1,320.23
Carole White,1,500
Cmt UK Ltd Taxi Fare,4,39.74
Paws For Thought,30,1065.18
Eb *healthy Cities How,5,2560
Royal Hotel,4,204.17
Emmaus Leeds Ltd,2,185.84
Miss T Abela,1,254.17
Www.Atm.Org.Uk,1,13.75
Virgin Trains,1,13.38
CROFT HOUSE,6,8826.96
Bilton Grange Primary School,1,225
Vodafone Ps,1,116.72
Impact Universal Ltd,1,8925
Www.Matcreations.Com,1,160.74
Grietje Beyaert And Paul Miller,1,500
SWIIS UK LTD,4,2784.5
SAFEHANDS NETWORK LTD,2,1341.3
Club Cars,777,1838977.81
Link Agency,3,775.55
Vehicle Control Servic,5,295
Monkey Puzzle,29,138904.95
Bronte Natural Spring Water,4,1797.75
Southend University Hospital,3,396.27
Www.Heartinternet.Co.U,1,24.99
BRAMHAM UNDER FIVES,1,3140.12
Frederick Crowther & Sons,2,100000
Gehl Architects Aps,2,2581.8
Maryam Ahmad,5,1350
Open Space Leeds Ltd C.I.C,7,4350
M&j Seafood Ltd,143,11752.72
Kas Paper Systems Ltd,19,78594.7
Bonacia Ltd,1,924
Sanctuary Care Ltd,18,20247.55
Simon Read,13,15890
Sonder Heating & Ventilation,1,422
Warble Entertainment,3,2329.16
Wp-Blundell Harlin,1,12.49
Katherine Clarkson,2,533.75
City Of Leeds Diving Club,1,701.6
M B Locking Logist,135,13306.79
IRELAND WOOD CHILDRENS CENTRE,3,35430.91
Northern Hire Ltd,1,190
Middleton Park Football Club,6,19078.08
Www.Paper.Co.Uk,3,618.15
City Climbing Company Ltd,2,213
Johnson Health Tech Uk,3,850.49
Hinson Parry & Company,3,2134
Hawk Audio Visual,1,210
The Quality Improvement Healthcare,1,746.3
Edf Energy 1 Ltd,43,43508.83
Deluxe Technicolor Digital Cinema,1,44
Eb *patron Of Reading,1,55.14
Ashley Jackson Artcrafts Ltd,1,479.79
Aire Body Care Ltd,9,6276.09
NEW VISION GROUP LTD,1,1000
21cc Group Ltd,11,21445
Wetherby Town Council,70,2042350.14
Northern Mobility,1,37.6
Leeds Latvian Community,2,1200
Simon Rosenstone,1,500
Jellyfishmoon,1,750
Beckets Chartered Accountants,1,2500
Prince Philip Playscheme,1,3400
KEYRING LIVING SUPPORT NETWORK,3,26921.72
Silverwood P & H Ltd,1,2197.28
Ssi Schaefer Ltd,39,644261.52
Key Terra-Firma Ltd,1,600
Www.Naturalliving.Co.U,1,13.96
Brighter Day Products,3,99.14
Paypal *shortfilmco,2,72.12
Music In Print Ltd,2,154.15
ST GEMMAS HOSPICE,1,6300
Harrison Spinks Beds Ltd,1,720
Garforth Traders Community Interest,1,250
Deecal International,1,19000
Wp-Ecom Power (Hk),1,29.36
Dri Kodak Store,1,44.95
Gems,1,30
North & West Yorkshire Working Well,2,110
Mone Bros Excavati,63,8705.72
Titan Northern Ltd,52,209672.48
Horton Housing Association,29,77150.4
Budget Car & Van Rental,4,512.9
Arch Chemicals Ltd,1,1085.1
Www.Rockrun.Com,1,37.08
Kippax Bowling Club,1,500
D:Side,3,32017
Leeds Trinity & All Saints,12,82036
Russettings Care Home,14,26152.17
Analysys Mason Ltd,1,37000
Northern Vending Service,13,1256.68
Community Links,68,134837.42
1st Morley Rainbows,2,345.94
OFFICE SUPPLIES FOR INDUSTRY LTD,7,6335.29
Blackpool Tower,1,41.2
Connect In The North,56,907305.8
Springvale Foods Ltd,62,28719.04
Parkside Residential Home,153,705399.14
Mcrg Ltd,1,1650
Brainpop Uk Ltd,1,478.08
Www.4x90.Com,2,43.25
Aalco Leeds,22,12751.99
Www.Jessops.Com,18,2046.88
Www.Lifefitness.Co.Uk,3,425.2
Strauss House Productions,2,517
Paypal *liuxiangdon,1,6.9
Cheshire West & Chester Council,1,250
Swift Moves,2,1190
Morley Town Centre Management Board,11,44455.6
Martinicca Theatre School,3,1731.04
Steels Builders,1,7350.15
Guiseley Junior Fc,1,140
Www.Bookmycourse.C,1,260.7
Konica Minolta Business Solutions,351,396219.21
Garden Cottage Nursery,2,144.79
Jd Sports Fashion Plc,1,37.99
Mordey Piano Services Ltd,1,55
Daryl Beeton Productions,1,720
Benedict Drew,1,79
Erco Lighting Ltd,7,59728.68
Progressive Recruitment,22,51169.56
Vistapr*vistaprint.Uk,7,603.1
Bulgaria Air6238949235751,1,98.11
Independent Playground Inspections,111,71844
The Baby Room,7,4786.56
Bb Erections Ltd,1,15228.97
Henconner Lane - Voyage 1 Ltd,6,52201.6
SCOTT PLANT HIRE (YORKSHIRE) LTD,57,75943.55
Arqiva Ltd,1,992.71
Community Matters (Yorkshire),2,802.5
Arco England Ltd,1,3063.3
Cawley Consultancy,6,11147.35
Hardisty & Co,1,690
HAMBLETON DISTRICT COUNCIL,1,750
Zia Ahmed,15,2106.01
My Print Partners Ltd,1,956
Paypal *amanteweddi,1,60.75
Subway Seacroft,14,83.78
Hazel Hill Lettings Ltd (Bacs),13,7157.12
Weston Park Care Home,2,4125.19
Skelton Ltd,7,4579.96
Jamie Saye,1,200
Www.Mercury-Av.Com,1,187.5
Farsley Christmas Lights,6,10427.57
Beecroft Estate Agents,1,425
Little Fields Farm,3,555.07
Garden Skill Ltd,1,300
Steve Weatherill,1,125
Criminal Records Bureau,64,999377
Simon Anderson,103,67225
www.victorfloorcare.co,1,678.63
Dan Hart,2,730
Chapeltown Community Centre,4,11650
Rook Systems,1,1150
BARNARDOS FUTURES,3,15991.5
Tesco Bank,4,4430.43
De-Napoli Clarke,1,360
The Charlton Centre For Alzheimers And,4,5960.92
STINGWRAY,1,1200
Christopher Martin Stockdale,1,600
Www.Gsequestrian.Co.Uk,1,64.17
First Prodigies Ltd,8,247913
Paypal *hermesparce,2,11.58
Pudsey Congs Cricket Club,1,5000
Paypal *rrbphotoboo,1,48.85
The Yorkshire Line,28,1304.13
Chalk Talks,2,305
Sd Building And Maintenance,2,8683.2
Poly Advisory Ltd,1,466.85
Gulf War Illness Veterans Support,4,1150
Youthbuild Harrogate,3,5998.15
S.Khan Pharma Ltd,11,21027.55
Refresh Interactive Ltd,1,155
Rothwell Methodist Church,2,80
Neighbourhood Action,16,99524
Tiffin Sandwiches,13,7071.38
BS PROJECT SERVICES LTD,43,29765.17
Carrie Hardy,2,105
Harehills Labour Club,5,2900
Chameleon Entertainmen,1,26.99
Bramley Sapphire Majorettes,2,100
Christian Hogsbjerg,1,10
Lucam,1,54
Express Signs Yorkshir,1,22.32
Peyton & Byrne Ltd,2,420.6
Www.Firesafetycomplian,1,152.99
Dovetail Ltd Gbp,3,205.08
Brodetsky Schools Ltd,1,2000
Kippax Brass Band,1,500
Www.Waterpoofworld,2,528.75
Osprey Healthcare Ltd,39,16282.4
Mediation Yorkshire,1,989
Colchester Institute,1,11.01
Dhl Express(UK) Lt,1,41.27
The Solicitors Group,2,365.75
SAFE SECURE LOCKER SERVICES LTD,8,6742.46
ROTHWELL COMPETITIVE MUSIC FESTIVAL,2,3000
Bendcrete Leisure Ltd,3,97652
Www.Mobilefun.Co.U,6,156.24
Bnp Paribas Leasing Solutions Ltd,105,50820.82
Nathan Wyman,1,165.2
Taylor Wimpey Yorkshire,6,222628
B & Q 1189,1,20.72
Costa-Leeds Austhorpe,8,47.35
Northern Comfort Barbershop Singers,3,300
Buttress Architects Ltd,5,107171.27
Envirodress,1,515.2
Farsley Afc,2,7090
Smart Building Systems Ltd,7,355940.65
Beavertown Brewery,8,15502.7
Corecom Consulting,1,300
Toytown Leeds,1,4.83
Bahson Colour Print Ltd,140,106724
Movawall Systems Ltd,1,14204
Dr Tolulope Olusoga,48,8227
Sunrise Operations Sonning Ltd,103,286576.25
Www.Rapidracking.Com,5,1703
Label Media Ltd,1,550
Solopress.Com V/terminal,1,700
No Nation Ltd,3,5692.24
Boots 0510,2,26.89
Greentop Community Circus Centre Ltd,1,1000
Imactivate Ltd,3,6500
Lindstrom Ltd,4,417.9
Bedding City,2,515
Real Life Options,1487,13749401.92
Paypal *stuartmille,2,65.2
Derwent Students,1,4275.6
Holbeck Estate Co.,8,17478.87
W KWAN,2,1033.2
Culworth House,52,49284.64
International Beer Company Ltd,2,19562
Paypal *bst Fabrics,3,201.8
Brandenburg Gates Ltd,12,50595
Shadwell In Bloom,3,450
Fridge Rentals Ltd,1,4858.14
Tb Davies Cardiff,1,139.79
Wold Ecology Ltd,1,1035
Jolly Giraffes Day Nursery Ltd,111,582304.44
G Hayward,3,11823.75
M A Liaquat,2,410
Ben White,1,78.99
Netstore Internet,1,118.5
Eversheds Sutherland I,3,383.86
Lockers3000.Com,1,28.2
Bells Domestic Applian,1,416.67
G P Singh,4,5803.16
The Grapevine,1,95
Mason Clark Associates Ltd,5,54907
Philip Miles,1,331
Paypal *zhangfeng21,1,2
Dave Wilkinson,5,15520
Godson & Coles Ltd,1,39000
Ec Mainline Co Sst,16,366.85
Evans Halshaw Renault,3,128.61
Exchange Events Ltd,2,605.52
Access Maintenance Solutions Ltd,29,37487
Zoho Corporation,1,2548.7
Felgains,3,5855.04
Oriel Consulting,1,211.1
Www.Gro-Welldirect.Co.,2,400.5
Greater Manchester Mental Health Nhs,3,6720
Trish Cooke,4,3000
The Plastic Card People,1,1234.99
Ireland Wood Residents Association,4,1236.25
York High Extended,4,65.5
Public Policy Exchange,1,660
Paypal *barberboat,2,223.34
Craig Rook Properties Ltd.,1,665
Cult Pens,4,426.74
The Curtain Shop (Rothwell) Ltd,1,1076
Unitedprint 5683211_pid5,1,519.33
Good Neighbours,1,100
Kirsty Cottrell,13,9019.33
Greenfield Adolescent Development Ltd,200,1559764.65
Home Farm Kennels And Cattery,1,345
Paypal *sisterflowe,1,7.59
Emma Lipton,2,316.5
Paypal *ukwristband,1,4.58
Steve Duffy,1,350
Econ Group Ltd,14,53190.06
The Surgery At Nursery Lane And Adel,24,130298.66
KILLGERM CHEMICALS LTD,2,1190.26
Hambleton Court,53,88957.33
Anderson Care Projects Ltd,1,1300
Wp-This Named Comp,5,177.08
Heads Together Productions,1,2000
Budget Greeting Cards,1,252.98
Susan Lacey,3,3844.8
Jim Cromwell,1,1863.76
Christ Church South Ossett,1,28
HECKMONDWIKE F B LTD,1,489.97
Stoneacre Properties,10,10490.3
S Ushewokunze,1,150
Www.Arco.Co.Uk,1517,130462.7
The Five Points Brewing Company Ltd,14,18604.06
Holiday Inn Express Le,6,1783.18
Webster Associates D & T Ltd,1,80.6
Kibble Education And Care Centre,7,159425
Robinson Developments Ltd,1,339
Eb *shift It Conferenc,1,50
Cromwell Group (Holdings) Ltd,26,2904.64
Handmade Spec Prod Ltd,1,171
Roundhay Environmental Action Project,10,5975
S J Harding,24,16062.5
Longroyds,100,130213.02
Twosixtwo,10,10816.75
Chippendale Builders Ltd,6,116903.93
Archant Community Media Ltd (Life),16,5909
Dotty Bots,5,1488.5
Newline Care Services Ltd,250,42907.5100000001
Harrogate (White Rose) Theatre,1,1000
Www.Partyark.Co.Uk,1,25.77
Mixamate Leeds,4,1085.6
Aztec Chemicals Ltd,13,3800.8
High Trees Garden,1,16.65
St Paul'S Church,5,3100
Rainbow Slush,9,2017.8
C P A Horticulture Ltd,29,51728.33
The Fidget Theatre,4,2358
Race Equality Foundation,6,20665
Paypal *mmguernseyl,1,4.09
Combat Hvac Ltd,1,650
Eversheds Sutherland (International) Llp,12,33888.93
Sequence Property Management.,1,450
Ils24 Health Care Ltd,710,300423.43
Snaith Hall Nursing & Residential Home,3,1714.94
Katch 22,1,459
Hilton Hotels,8,824.47
Leonardo Hotelroyalkoe,1,20.05
Alcohol Research Uk,1,2250
GLENROSA,4,5476.88
Moorlands Candles Ltd,1,167.4
Citispace Services,1,425
LIZ HALL LTD,1,1214.31
Asyabi Uk,4,1900
Will Jenkyns Voices Ltd,6,7590
Www.Asda-Photo.Co.Uk,1,27.92
Roberts & Partners,40,70584
Sonia Moorhouse,24,6041.45
Brian Walley Wildblood,1,2800
Greggs - S1053,5,27.1
Acorn Services,20,120758.82
Anna Smith,1,98
Hawthorn Surgery,1,871
Sheffield City Council (Resources),24,155080.75
Micklefield Horticultural Society,2,1000
Accutime Ltd,4,3977.96
colour display ltd,1,680
Synergy Recycling,2,4432.2
Childnet International,4,1050.27
Myers Famous Kosherie,67,36250.21
Lower Wortley Senior Citizen Tuesday,1,100
Weber (UK) Ltd,1,809.2
Hotels.Com120360936399,2,130
Dowding & Plummer,14,6366.16
South West Works,1,830
East & West Ardsley Royal British Legion,6,1150
N E T S,30,8016.32
Tesco Store 2572,1,3.3
Parklane Properties (Leeds) Ltd,4,9636.89
Newcastle Upon Tyne Hospitals Nhs Trust,16,9656.6
Guiseley Infant & Nursery School Fund,7,2315
SUNNYBANK,2,39878.49
F G Adamson Son,1,1129.99
Nw Lets - Client Account,1,600
Northern Rascals,1,750
Grandluxe (Uk) Ltd,2,2552.27
Aztec Presentations Ltd,7,2185
Mobile Structures,3,2200
M Johnson,31,2344.95
G T Produce Ltd,41,261766.12
Alistair Griffin,1,500
Kirklees Mc T/t,13,4939.02
Vesper Road Surgery,26,68940.47
Rebecca Webb,1,270
Cmt (UK) Ltd - Glasgow,2,15.04
Kadir Bashir,1,255
Modus Communicandi Ltd,2,2088.62
Gymmagic,7,2679.5
Carla Lopes,19,11248.19
Plasticshop,1,36.22
Mrs Tracey Best,1,1050
Self Management Uk,3,97000
Les K Power Tools Ltd,1,262.75
Paul Burns,4,28556.25
The Wine Shop,1,51
Leeds Phab - Football Account,1,4833.96
ANCHOR CARE,23,291485.26
Ivy House Nursing Home,126,385487.37
Aat (Gb) Ltd,120,165199.35
Uk Ticket Printing,1,62
Lawrence Tattersall Chartered Surveyors,1,2355.6
Vision Advocacy & Employment,14,1118.4
Www.Bostonseeds.Co,10,3017.28
Ko Sports,1,190
Ncs Projects,4,1600
Susan Timbrell,8,4889.45
Sobia Ahmed,9,1432.21
Imogen Powell,1,75
Leeds County Guide Association,7,7824.35
Otley Cycle Races.,1,750
Www.Haymarket.Com,1,165
Primos Gourmet Hotdog,2,19.45
Www.Red-Onions.Com,1,305.26
Hilti Centre Leeds,5,808.48
Eb Demonstrating Impa,1,211.65
C L Hill,1,450
Mark Barber,1,1300
Lister Haigh (Knaresborough) Ltd,15,26376.81
Chapel Allerton In Bloom,1,150
Lauren Nayak,3,641.75
Otto Bock Uk Ltd,8,9716.09
Apple Kiosk Gbp,3,249.07
Impact Fork,3,256.9
Innercity Cleaning Services Ltd,24,13735.61
Hughbon Condor,3,1525
Aim Education Leeds Ltd,23,64633.28
Finning (UK) Ltd,2,1138.09
Direct Group Property Services,1,1278.9
Wesley Historical Society,4,40
Bestech Systems Ltd,3,23476.2
Mahoods,8,25686.17
Sig Energy Management Ltd,78,1211536.93
Philippa Pickles,2,458
East Coast Trains 6536,1,432
Alex Mcintosh,1,30
Leeds Brewery Company Ltd,27,3690.8
Anne Berrington,4,3600
Bevox,1,3804.17
New Wortley Gardening Club,1,200
Methley Royals,1,306
Paypal *hemingwayse,1,385
Jonathan Auburn,7,12928.75
Paypal *outdoor Val,1,58.85
Drinks Store 46320,1,5.09
Regather Co-Op Ltd,1,150
Digital Plus Ltd,15,8060.2
G W Tyres (Wakefield) Ltd,461,2298834.08
COLLINGHAM TENNIS CLUB,1,631.39
Properpunch,3,750
Manston Park Bowling Club,1,300
Envirodoor Ltd,3,515.12
National Development Team,10,141777.81
George Genn,1,50
Creation Baumann,8,2583.46
Cdi,1,60
Museum Selection,1,12.98
RESOURCE PRINT SOLUTIONS,20,81373.05
